country,population_2018
United States,326766748
China,1415045928
Germany,82293457
New Zealand,4749598
United Arab Emirates,9541615
Peru,32551815
Taiwan,23694089
Russia,143964709
Japan,127185332
Canada,36953765
Republic of the Congo,5399895
Brazil,210867954
Afghanistan,36373176
Hong Kong,7428887
Ghana,29463643
Spain,46397452
United Kingdom,66573504
Australia,24772247
France,65233270
Ukraine,44009214
India,1354051854
Philippines,106512074
Thailand,69183173
Italy,59290969
Zimbabwe,16913261
Bulgaria,7036848
Netherlands,17084459
Belarus,9452113
Kazakhstan,18403860
Malaysia,32042458
Romania,19580634
Israel,8452841
Pakistan,200813818
Algeria,42008054
Belgium,11498518
Poland,38104832
Mexico,130759074
Singapore,5791901
South Africa,57398421
Indonesia,266794979
Hungary,9688847
Greece,11142161
Saudi Arabia,33554343
Egypt,99375741
Turkey,81916871
Argentina,44688864
Ireland,4803748
Serbia,8762027
Sweden,9982709
Latvia,1929938
Vietnam,96491146
Kenya,50950879
Norway,5353363
Switzerland,8544034
Namibia,2587801
Iraq,39339753
Bangladesh,166368149
Portugal,10291196
Estonia,1306788
Chile,18197209
Venezuela,32381221
Nigeria,195875237
Slovakia,5449816
Kyrgyzstan,6132932
Sri Lanka,20950041
Colombia,49464683
Trinidad and Tobago,1372598
Austria,8751820
Honduras,9417167
Finland,5542517
Macedonia,2085051
Uruguay,3469551
Kuwait,4197128
Bermuda,61070
Tunisia,11659174
Croatia,4164782
Burkina Faso,19751651
Cameroon,24678234
Luxembourg,590321
Bosnia and Herzegovina,3503554
Swaziland,1391385
Iran,82011735
Dominican Republic,10882996
Malawi,19164728
Cambodia,16245729
Slovenia,2081260
Morocco,36191805
Georgia,3907131
Syria,18284407
Brunei,434076
Cyprus,1189085
Azerbaijan,9923914
Armenia,2934152
Nicaragua,6284757
Seychelles,95235
Jamaica,2898677
Aruba,105670
Burundi,11216450
Benin,11485674
Belize,382444
Lebanon,6093509
Guyana,782225
Iceland,337780
Uzbekistan,32364996
Guatemala,17245346
Senegal,16294270
Ivory Coast,24905843
Angola,30774205
Sudan,41511526
Qatar,2694849
Mauritius,1268315
Denmark,5754356
Albania,2934363
British Virgin Islands,31719
Ethiopia,107534882
Papua New Guinea,8418346
Puerto Rico,3659007
Costa Rica,4953199
Jordan,9903802
Libya,6470956
Zambia,17609178
Nepal,29624035
Bolivia,11215674
Tanzania,59091392
Czech Republic,10625250
New Caledonia,279821
El Salvador,6411558
Malta,432089
Sierra Leone,7719729
Maldives,444259
Sint Maarten,40552
Oman,4829946
Ecuador,16863425
Samoa,197695
Yemen,28915284
Liechtenstein,38155
Palestine,5052776
Mauritania,4540068
Liberia,4853516
Somalia,15181925
Bahrain,1566993
Lithuania,2876475
Republic of Moldova,3350900
"Korea, Republic of",51446201
